name;magnitude;right ascendance;declination;spectral type;rotation;temperature;luminosity
  1Omi Tau;3.6;0.8936667546628299;0.15758383890784358;G6IIIFe-1;4.666666666666666;5466.666666666667;IIIFe-1
  2Xi  Tau;3.74;0.9039496528391632;0.16986901758715922;B9Vn;190.0;10000.0;Vn
  4    Tau;5.14;0.9180795475751006;0.19785731139761273;A0Vn;190.0;10000.0;Vn
  5    Tau;4.11;0.920108492830544;0.2257874275663331;K0II-IIIFe;nan;5200.0;II-IIIFe
  6    Tau;5.77;0.9276424974349861;0.16360037669041294;B9IV;190.0;10000.0;IV
  7    Tau;5.92;0.9356855564045934;0.4269851052267905;A3V+A3V;158.33333333333334;9166.666666666666;V+A3V
 10    Tau;4.28;0.946288431610459;0.00701040582884389;F9IV-V;12.0;6000.0;IV-V
 11    Tau;6.11;0.9632981196121869;0.44208220325654146;A2IV;168.88888888888889;9444.444444444445;IV
 13    Tau;5.69;0.9700321816427986;0.343834710779694;B9Vne;190.0;10000.0;Vne
 14    Tau;6.14;0.9764535388490944;0.34321899740468487;G8III;2.2222222222222214;5288.888888888889;III
 16    Tau;5.46;0.9808895840312464;0.42393077903580045;B7IV;192.22222222222223;14444.444444444445;IV
 17    Tau;3.7;0.9812022888555622;0.420857060297566;B6III;193.33333333333334;16666.666666666668;III
 18    Tau;5.64;0.9824531081528247;0.4335252417849581;B8V;191.11111111111111;12222.222222222223;V
 19    Tau;4.3;0.9826567298988907;0.4270335865949014;B6IV;193.33333333333334;16666.666666666668;IV
 20    Tau;3.87;0.9853547180342653;0.42529795361652933;B8III;191.11111111111111;12222.222222222223;III
 21    Tau;5.76;0.9857037838846642;0.4285607496903966;B8V;191.11111111111111;12222.222222222223;V
 22    Tau;6.43;0.9863219213280787;0.4280953285565313;A0Vn;190.0;10000.0;Vn
 29    Tau;5.35;0.9846856751543341;0.10559241974565693;B3V;196.66666666666666;23333.333333333336;V
 23    Tau;4.18;0.9875363795992583;0.41797726703177535;B6IVe;193.33333333333334;16666.666666666668;IVe
 25Eta Tau;2.87;0.9925905622248252;0.42071161619323316;B7IIIe;192.22222222222223;14444.444444444445;IIIe
 30    Tau;5.07;0.9960230430870806;0.19448785631390145;B3V+F5V;196.66666666666666;23333.333333333336;V+F5V
 27    Tau;3.63;0.9999064006727679;0.41980986274636944;B8III;191.11111111111111;12222.222222222223;III
 28    Tau;5.09;1.0000154837510176;0.42126430378969804;B8Vpe;191.11111111111111;12222.222222222223;Vpe
 31    Tau;5.67;1.0123055105671444;0.11405241848101834;B5V;194.44444444444446;18888.88888888889;V
 32    Tau;5.63;1.0335330775945255;0.39231607889064757;F2IV;76.55555555555556;7166.666666666667;IV
 33    Tau;6.06;1.0343839256048726;0.4044897504233081;B9.5IV;190.50505050505052;8989.898989898993;IV
 35Lam Tau;3.47;1.050164610924988;0.21799647171090283;B3V+A4IV;196.66666666666666;23333.333333333336;V+A4IV
 38Nu  Tau;3.91;1.0609711078769197;0.10453067778402705;A1V;179.44444444444446;9722.222222222223;V
 36    Tau;5.47;1.0662289122485524;0.4207261606036664;G0III+A4V;12.0;6000.0;III+A4V
 40    Tau;5.33;1.063530924113178;0.09486834111951402;B3V;196.66666666666666;23333.333333333336;V
 37    Tau;4.36;1.0676833532918812;0.38540263579802564;K0+III-III;nan;5200.0;+III-III
 39    Tau;5.9;1.0704831523002887;0.3841275758167076;G5V;5.888888888888888;5555.555555555556;V
 41    Tau;5.2;1.0760245726753705;0.48171087355043496;B9pSi;190.0;10000.0;pSi
 42Psi Tau;5.23;1.0777771741325815;0.5061697237624111;F1V;85.77777777777777;7333.333333333333;V
 43Ome1Tau;5.5;1.0871946798881347;0.34224452190565474;K2III;nan;4866.666666666667;III
 44    Tau;5.41;1.094459612899561;0.46217773033853177;F2IV-V;76.55555555555556;7166.666666666667;IV-V
 45    Tau;5.72;1.0966703632854204;0.09639550421500905;F4V;58.111111111111114;6833.333333333333;V
 46    Tau;5.29;1.1063278518131223;0.1346715443386069;F2V+F5V;76.55555555555556;7166.666666666667;V+F5V
 47    Tau;4.84;1.1080222756286;0.16168051451321916;G5III+A7V?;5.888888888888888;5555.555555555556;III+A7V?
 48    Tau;6.32;1.116014429161691;0.268790401080749;F5V;48.88888888888889;6666.666666666667;V
 49Mu  Tau;4.29;1.1149817760209275;0.15519855559678464;B3IV;196.66666666666666;23333.333333333336;IV
 50Ome2Tau;4.94;1.122508508420153;0.35916451937637756;A3m;158.33333333333334;9166.666666666666;m
 51    Tau;5.65;1.1274245191466037;0.376627508169943;F0V;95.0;7500.0;V
 53    Tau;5.35;1.1319987362278723;0.36900138896609;B9IV;190.0;10000.0;IV
 56    Tau;5.38;1.132769589980836;0.3800212039377097;A0pSi;190.0;10000.0;pSi
 54Gam Tau;3.65;1.1335622603494504;0.27275132885541387;K0-IIIabCN;nan;5200.0;-IIIabCN
 52Phi Tau;4.95;1.1360129935074592;0.47736209483088243;K1III;nan;5033.333333333333;III
 57    Tau;5.59;1.1342967530763313;0.24496180865421524;F0IV;95.0;7500.0;IV
 58    Tau;5.26;1.1371038242899554;0.26346229872535515;F0V;95.0;7500.0;V
 60    Tau;5.72;1.1434451872388682;0.24569387731269063;A3m;158.33333333333334;9166.666666666666;m
 59Chi Tau;5.37;1.1457286596768943;0.4473133428757134;B9V;190.0;10000.0;V
 61Del1Tau;3.76;1.1472703671828226;0.30617438403110525;K0-IIICN0.;nan;5200.0;-IIICN0.
 63    Tau;5.64;1.1493720344904326;0.2928177671165375;A1m;179.44444444444446;9722.222222222223;m
 62    Tau;6.36;1.1519027619058242;0.4241344007818665;B3V;196.66666666666666;23333.333333333336;V
 64Del2Tau;4.8;1.152339094218823;0.3044532954631664;A7V;116.11111111111111;8055.555555555556;V
 66    Tau;5.12;1.1513282576937094;0.16512269164909688;A3V;158.33333333333334;9166.666666666666;V
 65Kap1Tau;4.22;1.1578877867991215;0.3891017641848914;A7IV-V;116.11111111111111;8055.555555555556;IV-V
 67Kap2Tau;5.28;1.1580986807504041;0.3874582458059301;A7V;116.11111111111111;8055.555555555556;V
 68Del3Tau;4.29;1.1584186577799365;0.31290359792490563;A2IV;168.88888888888889;9444.444444444445;IV
 70    Tau;6.46;1.1589931619920513;0.27822002717832944;F7V;30.444444444444457;6333.333333333334;V
 69Ups Tau;4.28;1.1619893105413084;0.39817262815845084;A8Vn;105.55555555555556;7777.777777777777;Vn
 71    Tau;4.49;1.1621565712612907;0.2725913403406477;F0V;95.0;7500.0;V
 73Pi  Tau;4.69;1.1632910352750874;0.2568009587469101;G7IIIaFe-1;3.444444444444443;5377.777777777777;IIIaFe-1
 72    Tau;5.53;1.1662799116191276;0.4013627021801516;B7V;192.22222222222223;14444.444444444445;V
 75    Tau;4.97;1.1712904610133945;0.28553101748946125;K2III;nan;4866.666666666667;III
 76    Tau;5.9;1.1710722948568952;0.25727607615439746;F0IV;95.0;7500.0;IV
 74Eps Tau;3.53;1.1720613147663588;0.3347589986693235;G9.5IIICN0;1.5555555555555536;5159.595959595958;IIICN0
