constellation;star_num;name;magnitude;right ascendance;declination;spectral type;rotation;temperature;luminosity
Vul;1;BD+21;4.77;5.044946924941776;0.37333077513839813;B4IV;195.55555555555554;21111.11111111111;IV
Vul;2;BD+22;5.43;5.051535542868055;0.4018717565453166;B0.5IV;200.50505050505052;28989.898989898993;IV
Vul;3;BD+25;5.18;5.073883029498798;0.4583670948050108;B6III;193.33333333333334;16666.666666666668;III
Vul;4;BD+19;5.16;5.085351297125444;0.34555095121082186;K0III;nan;5200.0;III
Vul;5;BD+19;5.63;5.0885947006520675;0.35077239455637144;A0V;190.0;10000.0;V
Vul;6Alp;BD+24;4.44;5.099437558630082;0.43048546000440135;M0III;nan;3700.0;III
Vul;8;BD+24;5.81;5.100506572796928;0.4322938150349399;K0III;nan;5200.0;III
Vul;7;BD+19;6.33;5.102244629843707;0.3539479241676389;B5Vn;194.44444444444446;18888.88888888889;Vn
Vul;9;BD+19;5.0;5.125079354223966;0.3451097707610121;B8IIIn;191.11111111111111;12222.222222222223;IIIn
Vul;10;BD+25;5.49;5.1649310388111696;0.4498052851966164;G8III;2.2222222222222214;5288.888888888889;III
Vul;12;BD+22;4.95;5.197016008226999;0.39461894387591795;B2.5Ve;198.2828282828283;24545.454545454548;Ve
Vul;13;BD+23;4.58;5.207458894918098;0.4202704357434235;B9.5III;190.50505050505052;8989.898989898993;III
Vul;15;BD+27;4.64;5.24079468363119;0.48439189320697074;A4III;147.77777777777777;8888.888888888889;III
Vul;16;BD+24;5.22;5.244816213115994;0.4352511784897082;F2III;76.55555555555556;7166.666666666667;III
Vul;17;BD+23;5.07;5.266051052348591;0.41214980658483874;B3V;196.66666666666666;23333.333333333336;V
Vul;18;BD+26;5.52;5.282057176030422;0.46956629083864104;A3III;158.33333333333334;9166.666666666666;III
Vul;19;BD+26;5.49;5.287474968916821;0.4679033799124354;K3II-III;nan;4700.0;II-III
Vul;20;BD+26;5.92;5.288398538979336;0.46214379338085404;B7Ve;192.22222222222223;14444.444444444445;Ve
Vul;21;BD+28;5.18;5.298128749559204;0.5008173807229618;A7IVn;116.11111111111111;8055.555555555556;IVn
Vul;22;BD+23;5.15;5.303633808908202;0.4103026664598114;G3Ib-II;8.333333333333332;5733.333333333333;Ib-II
Vul;23;BD+27;4.52;5.304790089537649;0.4854487870317895;K3-IIIFe-1;nan;4700.0;-IIIFe-1
Vul;24;BD+24;5.32;5.309226134719801;0.4305921190142455;G8III;2.2222222222222214;5288.888888888889;III
Vul;25;BD+23;5.54;5.332228119820043;0.42666512819725827;B8IIIne;191.11111111111111;12222.222222222223;IIIne
Vul;26;BD+25;6.41;5.393670981695459;0.4517348436474323;A5III;137.22222222222223;8611.111111111111;III
Vul;27;BD+25;5.59;5.397772505437646;0.4618480570353773;B9V;190.0;10000.0;V
Vul;29;BD+20;4.82;5.404070235155259;0.37002919397004225;A0V;190.0;10000.0;V
Vul;28;BD+23;5.04;5.40411386838656;0.420905541665677;B5IV;194.44444444444446;18888.88888888889;IV
Vul;30;BD+24;4.91;5.431791881441103;0.44105439825258924;K2III;nan;4866.666666666667;III
Vul;31;BD+26;4.59;5.463440518543933;0.4729308977855412;G7IIIFe-1;3.444444444444443;5377.777777777777;IIIFe-1
Vul;32;BD+27;5.01;5.474050665955015;0.489695754878309;K4III;nan;4533.333333333333;III
Vul;33;BD+21;5.31;5.490253139177696;0.38965929991816733;K3.5III;nan;4624.242424242425;III
Vul;35;BD+26;5.41;5.618513022583629;0.48186116579157895;A1V;179.44444444444446;9722.222222222223;V
